"RefDes","Manufacturer","Value","Name","Pattern","Quantity"
"C1, C2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17","","0.1uF","CAP_0603","CAP_0603","12"
"C3","","3.3uF","CAP_1206","CAP_1206","1"
"C4, C5","","27pF","CAP_0603","CAP_0603","2"
"C6, C7","","4.7uF","CAP_1206","CAP_1206","2"
"J1","TE Connectivity","","1-440247-1","1-440247-1","1"
"L1, L2","","","IND_0805","IND_0805","2"
"PWR","","PWR","DIO_LIGHT","DIO_0805","1"
"R1, R4, R5","","470","RES_0603","RES_0603","3"
"R2, R6, R7, R8, R10","","10k","RES_0603","RES_0603","5"
"R3","","12k 1%","RES_0603","RES_0603","1"
"R9","","2.2k","RES_0603","RES_0603","1"
"R11","","5k","RES_0603","RES_0603","1"
"RX","","RX","DIO_LIGHT","DIO_0805","1"
"TX","","TX","DIO_LIGHT","DIO_0805","1"
"U1","FTDI","","FT2232H","QFP-64/12x12x0.5","1"
"U2","","","MT29F64G08CBAAA","TSOP-48/12x20x0.5","1"
"U3","Burr-Brown","","REG1117-3.3","SOT223-4","1"
"U4","ST Microelectronics","","M93C46MN1","SOIC-8/150mil","1"
"WP(Cut)","","","Cut/Bridge Trace","Untitled","1"
"Y1","","12MHz","CRYSTAL","HC-49","1"
